Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 3 default",meta:specialk9_internal_id,meta:specialk9_source_url,meta:specialk9_seo_title,meta:specialk9_seo_description
variation,"50185 55 L",,"Collar de Entrenamiento 3.0mm acero inoxidable - ClicLock Lateral y Sacavueltas",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,47000.00,,,,,,,50185,,,,,,,,Estilo,"ClicLock Lateral y Sacavueltas",1,0,,,,,,,,,,,,739797357,,,
variation,"50185 55 C",,"Collar de Entrenamiento 3.0mm acero inoxidable - ClicLock Central y Sacavueltas",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,45000.00,,,,,,,50185,,,,,,,,Estilo,"ClicLock Central y Sacavueltas",1,0,,,,,,,,,,,,739797357,,,
variable,"60164 - 57",,"Collar de Entrenamiento 3.0mm acero inoxidable negro",1,0,visible,,"<details><summary>Descripción</summary><section><p>Collar de Entrenamiento acero inoxidable, acabado negro en 3.0 mm de grosor.</p></section></details><details><summary>Medidas</summary><section><ul><li>Largo del Collar: 55cm (22"")<br>Tamaño Maximo de cuello: 45cm (18"")</li></ul></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. </div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><div>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</div><div>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</div></section></details>",taxable,,,,,,0,0.3,0.0,0.0,0.0,1,,,,"Collares, Collares > Collar Picos, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/740003332/4848930557.png, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/740003332/4847669504.webp, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/740003332/4847666831.png",,,,,"00009,50026 010 - 50108 014 - 50004 010,50135 010 57,C701,60155",,,,,"Herm Sprenger",Estilo,"ClicLock Central y Sacavueltas",1,0,,,,,,,,,,,,740003332,https://www.specialk9.com/Collar-de-Entrenamiento-3-0mm-acero-inoxidable-negro-p740003332,"Collar de Entrenamiento 3.0mm acero inoxidable negro","Descripción Collar de Entrenamiento acero inoxidable, acabado negro en 3.0 mm de grosor. Medidas Largo del Collar: 55cm (22"") Tamaño Maximo de cuello: 45cm (18"") Garantía Garantía por defectos de fábrica. Devoluciones Se realiza cambio si el producto presenta defecto de fábrica. Muy respetuosamente…"
variation,"50181 014 57",,"Collar de Entrenamiento 3.0mm acero inoxidable negro - ClicLock Central y Sacavueltas",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,51000.00,,,,,,,"60164 - 57",,,,,,,,Estilo,"ClicLock Central y Sacavueltas",1,0,,,,,,,,,,,,740003332,,,
variable,"50026 010 - 50108 014 - 50004 010",,"Collar de Entrenamiento 3.2mm acero inoxidable",1,0,visible,,"<details><summary>Descripción</summary><section><p>Collar de Entrenamiento acero inoxidable en 3.2mm de grosor.</p></section></details><details><summary>Medidas</summary><section><p>Largo total del collar</p><p>- Con Cliclock: 57cm / 22.5""</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. </div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><div>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</div><div>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</div></section></details><p><br></p>",taxable,,,,,,0,0.0,0.0,0.0,0.0,1,,,,"Collares, Collares > Collar Picos, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4541982423.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4573727094.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4573727099.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4573727106.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4573727320.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4573727325.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4573727396.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4573727203.jpg",,,,,"00009,50135 010 57,C701,60155,50045 010 57",,,,,"Herm Sprenger",Estilo,"Con anillo vivo y ClicLock, Con ClicLock, Con anillo, Con sacavueltas y cliclock",1,0,,,,,,,,,,,,695890332,https://www.specialk9.com/Collar-de-Entrenamiento-3-2mm-acero-inoxidable-p695890332,"Collar de Entrenamiento 3.2mm acero inoxidable","Descripción Collar de Entrenamiento acero inoxidable en 3.2mm de grosor. Medidas Largo total del collar - Con Cliclock: 57cm / 22.5"" Garantía Garantía por defectos de fábrica. Devoluciones Se realiza cambio si el producto presenta defecto de fábrica. Muy respetuosamente pedimos que, al momento de…"
variation,"50101 010 55",,"Collar de Entrenamiento 3.2mm acero inoxidable - Con sacavueltas y cliclock",1,,visible,,,taxable,parent,0,0,1,0,0,,,,,,,,53000.00,,,,,,,"50026 010 - 50108 014 - 50004 010",,,,,,,,Estilo,"Con sacavueltas y cliclock",1,0,,,,,,,,,,,,695890332,,,
variation,"50004 010 55",,"Collar de Entrenamiento 3.2mm acero inoxidable - Con anillo",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,48500.00,,,,,,,"50026 010 - 50108 014 - 50004 010",,,,,,,,Estilo,"Con anillo",1,0,,,,,,,,,,,,695890332,,,
variation,"50108 014 55",,"Collar de Entrenamiento 3.2mm acero inoxidable - Con ClicLock",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,46000.00,,,,,,,"50026 010 - 50108 014 - 50004 010",,,,,,,,Estilo,"Con ClicLock",1,0,,,,,,,,,,,,695890332,,,
variation,"50026 010 55",,"Collar de Entrenamiento 3.2mm acero inoxidable - Con anillo vivo y ClicLock",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,49700.00,,,,,,,"50026 010 - 50108 014 - 50004 010",,,,,,,,Estilo,"Con anillo vivo y ClicLock",1,0,,,,,,,,,,,,695890332,,,
simple,"50101 010 67","50101 010 67","Collar de Entrenamiento 3.2mm con Cliclock - Curogan",1,0,visible,,"<details><summary>Descripción</summary><section><p>Collar de Entrenamiento material curogan en 3.2mm de grosor.<br>Medida: 23"" / 58cm de largo. </p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. </div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><div>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</div><div>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</div></section></details>",taxable,,0,0,1,0,0,0.3,0.0,0.0,0.0,1,,,56000.00,"Collares, Collares > Collar Picos, Todos los Productos",,,https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/5160571447.png,,,,,"00009,50026 010 - 50108 014 - 50004 010,50135 010 57,C701,60155",,,,,"Herm Sprenger",,,,,,,,,,,,,,,,780703631,https://www.specialk9.com/Collar-de-Entrenamiento-3-2mm-con-Cliclock-Curogan-p780703631,"Collar de Entrenamiento 3.2mm con Cliclock - Curogan","Descripción Collar de Entrenamiento material curogan en 3.2mm de grosor. Medida: 23"" / 58cm de largo. Garantía Garantía por defectos de fábrica. Devoluciones Se realiza cambio si el producto presenta defecto de fábrica. Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga…"
simple,"50045 010 57",20-Apr-22,"Collar de Entrenamiento 4mm acero inoxidable Negro",1,0,visible,,"<details><summary>Descripción</summary><section><p>Collar de Entrenamiento acero inoxidable, acabado negro en 4mm de grosor, con anillo.</p></section></details><details><summary>Medida</summary><section><p>Medida: 63.5 cm / 25""</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. <strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><div>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</div><div>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</div></section></details>",taxable,,1,2,1,0,0,0.4,0.0,0.0,0.0,1,,,59000.00,"Collares, Collares > Collar Picos, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/695885318/4541977373.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/695885318/4573757029.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/695885318/4573753900.jpg",,,,,"00009,50026 010 - 50108 014 - 50004 010,50135 010 57,C701,60155",,,,,"Herm Sprenger",,,,,,,,,,,,,,,,695885318,https://www.specialk9.com/Collar-de-Entrenamiento-4mm-acero-inoxidable-Negro-p695885318,"Collar de Entrenamiento 4mm acero inoxidable","Descripción Collar de Entrenamiento acero inoxidable, acabado negro en 4mm de grosor, con anillo. Medida Medida: 63.5 cm / 25"" Garantía Garantía por defectos de fábrica. Devoluciones Se realiza cambio si el producto presenta defecto de fábrica. Muy respetuosamente pedimos que, al momento de…"
variable,60221,,"Collar de entrenamiento con ClicLock 3.2mm acero inoxidable negro",1,0,visible,,"<details><summary>Descripción</summary><section><p>Collar de Entrenamiento acero inoxidable, acabado negro en 3.2mm de grosor con ClicLock</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. </div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><div>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</div><div>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</div></section></details>",taxable,,,,,,0,0.3,0.0,0.0,0.0,1,,,,"Collares, Collares > Collar Picos, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/795071615/5359590016.png, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/795071615/4759578555.png, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/795071615/4573732564.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/795071615/4573731272.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/795071615/4573732594.png",,,,,"00009,50026 010 - 50108 014 - 50004 010,50135 010 57,C701,60155",,,,,"Herm Sprenger",Estilo,"ClicLock Centro, ClicLock Lado",1,0,,,,,,,,,,,,795071615,https://www.specialk9.com/Collar-de-entrenamiento-con-ClicLock-3-2mm-acero-inoxidable-negro-p795071615,"Collar de entrenamiento con ClicLock 3.2mm acero inoxidable negro","Descripción Collar de Entrenamiento acero inoxidable, acabado negro en 3.2mm de grosor con ClicLock Garantía Garantía por defectos de fábrica. Devoluciones Se realiza cambio si el producto presenta defecto de fábrica. Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las…"
variation,"50122 009 57",,"Collar de entrenamiento con ClicLock 3.2mm acero inoxidable negro - ClicLock Lado",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,57000.00,,,,,,,60221,,,,,,,,Estilo,"ClicLock Lado",1,0,,,,,,,,,,,,795071615,,,
variation,5010101057,,"Collar de entrenamiento con ClicLock 3.2mm acero inoxidable negro - ClicLock Centro",1,,visible,,,taxable,parent,1,-1,1,1,0,,,,,,,,55000.00,,,,,,,60221,,,,,,,,Estilo,"ClicLock Centro",1,0,,,,,,,,,,,,795071615,,,
simple,5020102002,,"Collar de Eslabón Retorcido Acero Cromado 1.35mm",1,1,visible,,"<p>Collar de cadena para perro que combina uso decorativo y funcional para entrenamiento. Sus eslabones cortos permiten un deslizamiento suave a través del aro, ideal para razas de pelo corto.</p><p><strong>Recomendación de talla:</strong> elegir una medida aproximadamente <strong>3” (7.6 cm)</strong> mayor que el contorno real del cuello del perro.</p>",taxable,,0,0,1,0,0,0.0,0.0,0.0,0.0,1,,,21500.00,"Collares, Collares > Collar Eslabón, Todos los Productos",,,https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/829310410/5707520957.webp,,,,,,,,,54,,,,,,,,,,,,,,,,,829310410,https://www.specialk9.com/Collar-de-Eslabon-Retorcido-Acero-Cromado-1-35mm-p829310410,"Collar de Eslabón Retorcido Acero Cromado 1.35mm","Collar de cadena para perro que combina uso decorativo y funcional para entrenamiento. Sus eslabones cortos permiten un deslizamiento suave a través del aro, ideal para razas de pelo corto. Recomendación de talla: elegir una medida aproximadamente 3” (7.6 cm) mayor que el contorno real del cuello…"
variable,51508,,"Collar de exhibición acero inoxidable 3mm",1,0,visible,,"<details><summary>Descripción</summary><section><p>Collar de Exhibición acero inoxidable en 3mm.</p></section></details><details><summary>Garantía</summary><section><p>Garantía por defectos de fábrica. Cortes y golpes no serán contemplados dentro de la garantía.</p><p><strong></strong><strong>Devoluciones<br></strong>Se realiza cambio si el producto presenta defecto de fábrica.</p><p>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</p><p>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.<br></p></section></details>",taxable,,,,,,0,0.12,0.0,0.0,0.0,1,,,,"Collares > Collar Eslabón, Obediencia, Todos los Productos",,,https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4555726007.png,,,,,"51541 57,60155,51112 57,225CG,50135 010 57",,,,,"Herm Sprenger",Tamaño,"22"", 25""",1,0,,,,,,,,,,,,698065029,https://www.specialk9.com/Collar-de-exhibicion-acero-inoxidable-3mm-p698065029,"Collar de exhibición acero inoxidable 3mm","Descripción Collar de Exhibición acero inoxidable en 3mm. Garantía Garantía por defectos de fábrica. Cortes y golpes no serán contemplados dentro de la garantía. Devoluciones Se realiza cambio si el producto presenta defecto de fábrica. Muy respetuosamente pedimos que, al momento de solicitarnos un…"
variation,"51508 064 55",,"Collar de exhibición acero inoxidable 3mm - 25""",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,45000.00,,,,,,,51508,,,,,,,,Tamaño,"25""",1,0,,,,,,,,,,,,698065029,,,
variation,"51508 056 55",,"Collar de exhibición acero inoxidable 3mm - 22""",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,43000.00,,,,,,,51508,,,,,,,,Tamaño,"22""",1,0,,,,,,,,,,,,698065029,,,
variable,C05,,"Collar de Identificación",1,0,visible,,"<details><summary>Descripción</summary><section><p>Hecho de nailon tubular de especificaciones militares de 1"" de ancho</p><p>Cuenta con una hebilla de plástico de liberación rápida.<br>Espaciador deslizante de metal y anillo en D de 1""<br></p></section></details><details><summary>Medidas</summary><section><p>Ancho: 1"" de ancho</p><p>Largo: Ajustable de 16"" a 23"" de largo.</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. Cortes y golpes no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><div>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</div><div>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado..</div></section></details>",taxable,,,,,,0,0.07,0.0,0.0,0.0,1,,,,"Collares > Collar Nylon, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/697534911/4553258727.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/697534911/4553262527.jpg",,,,,"225CG,51506,220CG,50135 010 57,BBV",,,,,"Elite K9",Color,"Coyote, Negro",1,0,,,,,,,,,,,,697534911,https://www.specialk9.com/Collar-de-Identificacion-p697534911,"Collar de Identificación","Descripción Hecho de nailon tubular de especificaciones militares de 1"" de ancho Cuenta con una hebilla de plástico de liberación rápida. Espaciador deslizante de metal y anillo en D de 1"" Medidas Ancho: 1"" de ancho Largo: Ajustable de 16"" a 23"" de largo. Garantía Garantía por defectos de fábrica.…"
variation,C051,,"Collar de Identificación - Coyote",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,20300.00,,,,,,,C05,,,,,,,,Color,Coyote,1,0,,,,,,,,,,,,697534911,,,
variation,C050,,"Collar de Identificación - Negro",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,20300.00,,,,,,,C05,,,,,,,,Color,Negro,1,0,,,,,,,,,,,,697534911,,,
variable,51506,,"Collar Eslabón Largo plano acero inoxidable 3mm",1,0,visible,,"<details><summary>Descripción</summary><section><p>Collar Eslabón plano acero inoxidable en 3mm de grosor</p><p>Eslabón largo.</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. Cortes y golpes no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><div>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</div><div>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</div></section></details>",taxable,,,,,,0,0.11,0.0,0.0,0.0,1,,,,"Collares > Collar Eslabón, Obediencia, Todos los Productos",,,https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/698029386/4555726178.jpg,,,,,"51508,N103H,51541 57,50135 010 57,51112 57",,,,,"Herm Sprenger",Tamaño,"18"", 20"", 22"", 24.5"", 26""",1,0,,,,,,,,,,,,698029386,https://www.specialk9.com/Collar-Eslabon-Largo-plano-acero-inoxidable-3mm-p698029386,"Collar Eslabón Largo plano acero inoxidable 3mm","Descripción Collar Eslabón plano acero inoxidable en 3mm de grosor Eslabón largo. Garantía Garantía por defectos de fábrica. Cortes y golpes no serán contemplados dentro de la garantía. Devoluciones Se realiza cambio si el producto presenta defecto de fábrica. Muy respetuosamente pedimos que, al…"
variation,"51506 046 55",,"Collar Eslabón Largo plano acero inoxidable 3mm - 18""",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,21500.00,,,,,,,51506,,,,,,,,Tamaño,"18""",1,0,,,,,,,,,,,,698029386,,,
variation,"51506 050 55",,"Collar Eslabón Largo plano acero inoxidable 3mm - 20""",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,22500.00,,,,,,,51506,,,,,,,,Tamaño,"20""",1,0,,,,,,,,,,,,698029386,,,
variation,"51506 057 55",,"Collar Eslabón Largo plano acero inoxidable 3mm - 22""",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,23500.00,,,,,,,51506,,,,,,,,Tamaño,"22""",1,0,,,,,,,,,,,,698029386,,,
variation,"51506 061 55",,"Collar Eslabón Largo plano acero inoxidable 3mm - 24.5""",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,24500.00,,,,,,,51506,,,,,,,,Tamaño,"24.5""",1,0,,,,,,,,,,,,698029386,,,
variation,"51506 065 55",,"Collar Eslabón Largo plano acero inoxidable 3mm - 26""",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,25500.00,,,,,,,51506,,,,,,,,Tamaño,"26""",1,0,,,,,,,,,,,,698029386,,,
variable,"51441 - 55",,"Collar Eslabón plano acero inoxidable - 2mm",1,0,visible,,"<details><summary>Descripción</summary><section><p>Collar Acero Inoxidable, grosor de 2.0mm. </p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. Cortes y golpes no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><div>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</div><div>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</div></section></details><p><br></p>",taxable,,,,,,0,0.11,0.0,0.0,0.0,1,,,,"Collares > Collar Eslabón, Obediencia, Todos los Productos",,,"https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4847572629.jpg, https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4847574431.jpg",,,,,"51663 06 55,IDC,51508,C05,50135 010 57",,,,,"Herm Sprenger",Tamaño,"12"", 15""",1,0,,,,,,,,,,,,739771215,https://www.specialk9.com/Collar-Eslabon-plano-acero-inoxidable-2mm-p739771215,"Collar Eslabón plano acero inoxidable - 2mm","Descripción Collar Acero Inoxidable, grosor de 2.0mm. Garantía Garantía por defectos de fábrica. Cortes y golpes no serán contemplados dentro de la garantía. Devoluciones Se realiza cambio si el producto presenta defecto de fábrica. Muy respetuosamente pedimos que, al momento de solicitarnos un…"
variation,"51441 038 55",,"Collar Eslabón plano acero inoxidable - 2mm - 15""",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,17500.00,,,,,,,"51441 - 55",,,,,,,,Tamaño,"15""",1,0,,,,,,,,,,,,739771215,,,
variation,"51441 030 55",,"Collar Eslabón plano acero inoxidable - 2mm - 12""",1,,visible,,,taxable,parent,1,1,1,1,0,,,,,,,,16500.00,,,,,,,"51441 - 55",,,,,,,,Tamaño,"12""",1,0,,,,,,,,,,,,739771215,,,
variable,51541,,"Collar Eslabón Plano Acero Inoxidable 3mm",1,0,visible,,"<details><summary>Descripción</summary><section><p>Collar de Eslabón plano acero inoxidable 3mm</p><p>Eslabón Corto</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. Cortes y golpes no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><div>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</div><div>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</div></section></details><p><br></p>",taxable,,,,,,0,0.12,0.0,0.0,0.0,1,,,,"Collares > Collar Eslabón, Obediencia, Todos los Productos",,,https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/4555726075.jpg,,,,,"59440 002 77,51506,50135 010 57,51112 57,51541 57",,,,,"Herm Sprenger",Tamaño,"17"", 19.5"", 21.25""",1,0,,,,,,,,,,,,698029374,https://www.specialk9.com/Collar-Eslabon-Plano-Acero-Inoxidable-3mm-p698029374,"Collar Eslabón Plano Acero Inoxidable 3mm","Descripción Collar de Eslabón plano acero inoxidable 3mm Eslabón Corto Garantía Garantía por defectos de fábrica. Cortes y golpes no serán contemplados dentro de la garantía. Devoluciones Se realiza cambio si el producto presenta defecto de fábrica. Muy respetuosamente pedimos que, al momento de…"
variation,"51541 054 55 C100 22",,"Collar Eslabón Plano Acero Inoxidable 3mm - 21.25""",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,28000.00,,,,,,,51541,,,,,,,,Tamaño,"21.25""",1,0,,,,,,,,,,,,698029374,,,
variation,"51545 050 55 C100 20",,"Collar Eslabón Plano Acero Inoxidable 3mm - 19.5""",1,,visible,,,taxable,parent,1,4,1,1,0,,,,,,,,25000.00,,,,,,,51541,,,,,,,,Tamaño,"19.5""",1,0,,,,,,,,,,,,698029374,,,
variation,"51541 044 55 C100 17",,"Collar Eslabón Plano Acero Inoxidable 3mm - 17""",1,,visible,,,taxable,parent,1,5,1,1,0,,,,,,,,24000.00,,,,,,,51541,,,,,,,,Tamaño,"17""",1,0,,,,,,,,,,,,698029374,,,
variable,"51663 06 55",,"Collar Eslabón plano acero inoxidable 4mm",1,0,visible,,"<details open=""""><summary>Descripción</summary><section><p>Collar Eslabón plano acero inoxidable en 4mm de grosor</p><p>Eslabón largo</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. Cortes y golpes no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica.</div><div>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</div><div>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</div></section></details><p><br></p>",taxable,,,,,,0,0.2,0.0,0.0,0.0,1,,,,"Collares > Collar Eslabón, Obediencia, Todos los Productos",,,https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/698065032/4555722138.jpg,,,,,"51541,220CG,51508,50135 010 57,225CG",,,,,"Herm Sprenger",Tamaño,"25"", 23"", 21.5""",1,0,,,,,,,,,,,,698065032,https://www.specialk9.com/Collar-Eslabon-plano-acero-inoxidable-4mm-p698065032,"Collar Eslabón plano acero inoxidable 4mm","Descripción Collar Eslabón plano acero inoxidable en 4mm de grosor Eslabón largo Garantía Garantía por defectos de fábrica. Cortes y golpes no serán contemplados dentro de la garantía. Devoluciones Se realiza cambio si el producto presenta defecto de fábrica. Muy respetuosamente pedimos que, al…"
variation,"51663 060 55",,"Collar Eslabón plano acero inoxidable 4mm - 21.5""",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,33800.00,,,,,,,"51663 06 55",,,,,,,,Tamaño,"21.5""",1,0,,,,,,,,,,,,698065032,,,
variation,5160405855,,"Collar Eslabón plano acero inoxidable 4mm - 23""",1,,visible,,,taxable,parent,1,0,1,1,0,,,,,,,,33800.00,,,,,,,"51663 06 55",,,,,,,,Tamaño,"23""",1,0,,,,,,,,,,,,698065032,,,
variation,"51663 063 55",,"Collar Eslabón plano acero inoxidable 4mm - 25""",1,,visible,,,taxable,parent,1,9,1,1,0,,,,,,,,33800.00,,,,,,,"51663 06 55",,,,,,,,Tamaño,"25""",1,0,,,,,,,,,,,,698065032,,,
variable,51604,,"Collar Eslabón Plano Acero Inoxidable 4mm",1,0,visible,,"<details open=""""><summary>Descripción</summary><section><p>Collar de Eslabón plano en 4mm de grosor.<br>Material Acero inoxidable</p></section></details><details><summary>Garantía</summary><section><div>Garantía por defectos de fábrica. Cortes y golpes no serán contemplados dentro de la garantía.</div><div><strong>Devoluciones</strong></div><div>Se realiza cambio si el producto presenta defecto de fábrica. </div><div>Muy respetuosamente pedimos que, al momento de solicitarnos un producto, tenga las medidas necesarias.</div><div>No se hacen reembolsos, se hacen cambios por productos disponibles, completando el mismo monto cancelado.</div></section></details><p><br></p>",taxable,,,,,,0,0.2,0.0,0.0,0.0,1,,,,"Collares > Collar Eslabón, Obediencia, Todos los Productos",,,https://d2j6dbq0eux0bg.cloudfront.net/images/104219285/products/698029390/4555734649.jpg,,,,,"51663,00011,50045 010 57,220CG,N103H",,,,,"Herm Sprenger",Tamaño,"25"", 23"", 21",1,0,,,,,,,,,,,,698029390,https://www.specialk9.com/Collar-Eslabon-Plano-Acero-Inoxidable-4mm-p698029390,"Collar Eslabón Plano Acero Inoxidable 4mm","Descripción Collar de Eslabón plano en 4mm de grosor. Material Acero inoxidable Garantía Garantía por defectos de fábrica. Cortes y golpes no serán contemplados dentro de la garantía. Devoluciones Se realiza cambio si el producto presenta defecto de fábrica. Muy respetuosamente pedimos que, al…"
variation,"51604 054 55",,"Collar Eslabón Plano Acero Inoxidable 4mm - 21",1,,visible,,,taxable,parent,1,2,1,1,0,,,,,,,,37200.00,,,,,,,51604,,,,,,,,Tamaño,21,1,0,,,,,,,,,,,,698029390,,,
variation,"51604 058 55",,"Collar Eslabón Plano Acero Inoxidable 4mm - 23""",1,,visible,,,taxable,parent,1,2,1,1,0,,,,,,,,39200.00,,,,,,,51604,,,,,,,,Tamaño,"23""",1,0,,,,,,,,,,,,698029390,,,
